quarter,sh_ret,alla_ret,flow_score,flow_bucket,scissors,m2_yoy,amount_yoy,north_yi,rz_chg,ipo_yi,inc_capital,ret_next1,ret_next4,alla_next1
2009Q3,-0.060802294548622404,-0.03801016869071372,0.3018811429101632,大幅流入,0.20000000000000284,29.31,1.752632700122159,,,,,0.1790704267715708,-0.044530057644995784,0.2282389644614966
2009Q4,0.1790704267715708,0.2282389644614966,0.3994598176508336,大幅流入,4.670000000000002,27.68,0.6063596494486057,,,,,-0.05127460263357764,-0.14313155468840344,-0.015484251488321887
2010Q1,-0.05127460263357764,-0.015484251488321887,0.11381397860357137,大幅流入,7.440000000000001,22.5,-0.19431198644981407,,,969.440795,,-0.22859794056488925,-0.058214180608245764,-0.22530923358638244
2010Q2,-0.22859794056488925,-0.22530923358638244,0.08076007292035581,大幅流入,6.099999999999998,18.46,-0.3400203712834524,,14.771647669999998,935.824099095,-921.052451425,0.10727619174689473,0.15164716036308,0.19700625219037504
2010Q3,0.10727619174689473,0.19700625219037504,-0.12163831980059511,流入,1.9100000000000001,18.96,-0.266929456096192,,32.02262904,1681.5030284,-1649.4803993599999,0.05739406203660269,-0.11162506617945533,0.06844814081109818
2010Q4,0.05739406203660269,0.06844814081109818,-0.14925685171754768,流入,1.4700000000000024,19.72,0.1233623777755839,,80.74659501,949.460565,-868.71396999,0.042745978831777,-0.21675331552517968,0.0212886467911666
2011Q1,0.042745978831777,0.0212886467911666,-0.38860206045241663,流出,-1.6199999999999992,16.63,0.08165164416410553,,80.21965919000002,948.3149500000002,-868.0952908100002,-0.056703792991454116,-0.22721918670432917,-0.06028339958903506
2011Q2,-0.056703792991454116,-0.06028339958903506,-0.4011404997172402,流出,-2.8000000000000007,15.9,0.0465305893916832,,63.50359960999998,610.199062,-546.6954623900001,-0.14585261231045066,-0.19429045399185257,-0.14752081556908314
2011Q3,-0.14585261231045066,-0.14752081556908314,-0.5392882656618523,大幅流出,-4.1899999999999995,13.04,-0.219996240286904,,62.53402993000003,520.4358900000001,-457.90186007000005,-0.06773552275752148,-0.11573782860436929,-0.11604688013236164
2011Q4,-0.06773552275752148,-0.11604688013236164,-0.09398178149118275,流入,-5.76,13.61,-0.5098144182222875,,41.61452214999997,521.0114484000001,-479.3969262500001,0.02881263534836731,0.03169521741443297,0.041184935672192724
2012Q1,0.02881263534836731,0.041184935672192724,-0.2012123291007842,中性,-9.0,13.4,-0.11813219315213175,,83.45913082999999,353.23016870000004,-269.77103787000004,-0.01650927970273841,-0.01156405284100855,0.0227793010976991
